element_id,element_name,noc_06_21,year,value,value_scale
4.C.2.d.1.i,Spend Time Making Repetitive Motions,All Other,2006,3.07752394386832,61.5504788773666
4.C.3.b.4,Importance of Being Exact or Accurate,All Other,2006,4.13921657404096,82.7843314808194
4.C.3.b.7,Importance of Repeating Same Tasks,All Other,2006,3.19179865705147,63.8359731410295
4.C.3.b.8,Structured versus Unstructured Work,All Other,2006,4.05114635605486,81.0229271210973
4.C.3.d.3,Pace Determined by Speed of Equipment,All Other,2006,2.11632528185033,42.3265056370066
4.C.2.d.1.i,Spend Time Making Repetitive Motions,Top 10 mover,2006,2.7655,55.31
4.C.3.b.4,Importance of Being Exact or Accurate,Top 10 mover,2006,4.03266666666667,80.6533333333333
4.C.3.b.7,Importance of Repeating Same Tasks,Top 10 mover,2006,3.41833333333333,68.3666666666667
4.C.3.b.8,Structured versus Unstructured Work,Top 10 mover,2006,4.075,81.5
4.C.3.d.3,Pace Determined by Speed of Equipment,Top 10 mover,2006,1.597,31.94
4.C.2.d.1.i,Spend Time Making Repetitive Motions,All Other,2016,3.08320488746457,61.6640977492917
4.C.3.b.4,Importance of Being Exact or Accurate,All Other,2016,4.12410826039621,82.4821652079244
4.C.3.b.7,Importance of Repeating Same Tasks,All Other,2016,3.16523114100419,63.3046228200839
4.C.3.b.8,Structured versus Unstructured Work,All Other,2016,4.03967249154426,80.7934498308851
4.C.3.d.3,Pace Determined by Speed of Equipment,All Other,2016,2.15229260824203,43.0458521648406
4.C.2.d.1.i,Spend Time Making Repetitive Motions,Top 10 mover,2016,2.725,54.5
4.C.3.b.4,Importance of Being Exact or Accurate,Top 10 mover,2016,4.01583333333333,80.3166666666667
4.C.3.b.7,Importance of Repeating Same Tasks,Top 10 mover,2016,3.35666666666667,67.1333333333333
4.C.3.b.8,Structured versus Unstructured Work,Top 10 mover,2016,4.18375,83.675
4.C.3.d.3,Pace Determined by Speed of Equipment,Top 10 mover,2016,1.36875,27.375
4.C.2.d.1.i,Spend Time Making Repetitive Motions,All Other,2021,3.08323848244603,61.6647696489206
4.C.3.b.4,Importance of Being Exact or Accurate,All Other,2021,4.15005638168642,83.0011276337286
4.C.3.b.7,Importance of Repeating Same Tasks,All Other,2021,3.19869123140414,63.9738246280829
4.C.3.b.8,Structured versus Unstructured Work,All Other,2021,4.02446134112288,80.4892268224576
4.C.3.d.3,Pace Determined by Speed of Equipment,All Other,2021,2.14759698593156,42.9519397186311
4.C.2.d.1.i,Spend Time Making Repetitive Motions,Top 10 mover,2021,2.721875,54.4375
4.C.3.b.4,Importance of Being Exact or Accurate,Top 10 mover,2021,4.07770833333333,81.5541666666667
4.C.3.b.7,Importance of Repeating Same Tasks,Top 10 mover,2021,3.26583333333333,65.3166666666667
4.C.3.b.8,Structured versus Unstructured Work,Top 10 mover,2021,4.25958333333333,85.1916666666667
4.C.3.d.3,Pace Determined by Speed of Equipment,Top 10 mover,2021,1.29125,25.825
